expnum,object,"""ra""","""dec""",inttime,mjdate,filter,runid
1422573,ll10+0-2,27.78336964217175,13.413222350984299,320.09904,55864.5313707,r.MP9601,11BC22
1422574,ll10-1-2,26.769367791501367,13.413222779548633,320.12496,55864.5357859,r.MP9601,11BC22
1422575,ll10-2-2,25.755325731923357,13.413254375300255,320.1336,55864.5402884,r.MP9601,11BC22
1422576,ll10-2-1,25.755329317592416,14.393203869597999,320.130144,55864.5446468,r.MP9601,11BC22
1422577,ll10-1-1,26.76937054401429,14.393223132948819,320.135328,55864.5489812,r.MP9601,11BC22
1422578,ll10+0-1,27.78336656093027,14.393223556570703,320.131008,55864.5533671,r.MP9601,11BC22
1422579,ll10+1-1,28.79736658892496,14.393224230988706,320.124096,55864.5576931,r.MP9601,11BC22
1422580,ll10+2-1,29.811417133576448,14.393223858522575,320.12582399999997,55864.561999,r.MP9601,11BC22
1422683,ll10+2+1,29.8114197529465,15.373222236793909,320.14137600000004,55865.2667232,r.MP9601,11BC22
1422684,ll10+1+1,28.797371926041308,15.373253191974698,320.124096,55865.270983,r.MP9601,11BC22
1422685,ll10+0+1,27.78337032144838,15.373223445871844,320.12582399999997,55865.2752443,r.MP9601,11BC22
1422686,ll10-1+1,26.769367918787847,15.37322420427658,320.128416,55865.2795074,r.MP9601,11BC22
1422687,ll10-2+1,25.755328357452754,15.373254753086043,320.150016,55865.2837705,r.MP9601,11BC22
1422688,ll10-2+2,25.75532768059683,16.353222984903326,320.138784,55865.288033,r.MP9601,11BC22
1422689,ll10-1+2,26.76936746559834,16.353203266680055,320.147424,55865.2926834,r.MP9601,11BC22
1422690,ll10+0+2,27.783329076557255,16.353253089061656,320.161248,55865.2969445,r.MP9601,11BC22
1422691,ll10+2+1,29.811415832766617,15.373253898659085,320.15088,55865.3073318,r.MP9601,11BC22
1422692,ll10+1+1,28.79736695783893,15.37322395729534,320.154336,55865.3116732,r.MP9601,11BC22
1422693,ll10+2+1,29.811416907281075,15.373204322127677,320.175072,55865.3556192,r.MP9601,11BC22
1422694,ll10+2+1,29.811417334602197,15.373204141932929,320.156928,55865.3693607,r.MP9601,11BC22
1422695,ll10+1+1,28.797367522268992,15.3732223485445,320.161248,55865.3737021,r.MP9601,11BC22
1422696,ll10+0+1,27.783367655537774,15.373253550847705,320.166432,55865.3779851,r.MP9601,11BC22
1422697,ll10-1+1,26.769368765777102,15.373224455408703,320.169888,55865.3822534,r.MP9601,11BC22
1422698,ll10-2+1,25.755326458533286,15.373204889369658,320.169888,55865.3865193,r.MP9601,11BC22
1422699,ll10-2+2,25.755328785812548,16.35325365403544,320.169888,55865.3908449,r.MP9601,11BC22
1422700,ll10-1+2,26.769324809131827,16.35322298856923,320.1552,55865.3951708,r.MP9601,11BC22
1422701,ll10+0+2,27.783369517063385,16.353223848955125,320.169024,55865.3994939,r.MP9601,11BC22
1422702,ll10+1+2,28.797366734627715,16.353222703098737,320.161248,55865.4038256,r.MP9601,11BC22
1422703,ll10+2+2,29.811417984376536,16.353222908148325,320.170752,55865.4081317,r.MP9601,11BC22
1422704,ll10-2+1,25.7553262597646,15.37320373053636,320.154336,55865.4125562,r.MP9601,11BC22
1422705,ll10+0+2,27.783369001635567,16.353173508940113,320.158656,55865.4169399,r.MP9601,11BC22
1422706,ll10+1+2,28.797369871722005,16.353222583122815,320.169024,55865.4212785,r.MP9601,11BC22
1422707,ll10+2+2,29.811416101338477,16.35322368561428,320.158656,55865.4256132,r.MP9601,11BC22
1422708,ll10-2+1,25.755329486344138,15.373223028753754,320.169024,55865.4421392,r.MP9601,11BC22
1422709,ll10+0+2,27.78336886119365,16.35320266629944,320.16816,55865.4464899,r.MP9601,11BC22
1422710,ll10+2+2,29.811415819963816,16.353224421771714,320.15260800000004,55865.4510803,r.MP9601,11BC22
1422735,ll10+2+2,29.81141740526761,16.35322314189591,320.079168,55865.476379,r.MP9601,11BC22
1422736,ll10+2+2,29.811418662151397,16.353223696077976,320.12496,55865.4814451,r.MP9601,11BC22
1422758,ll10+2-2,29.81141668188727,13.41325382222449,320.101632,55865.5054881,r.MP9601,11BC22
1422759,ll10+1-2,28.79736845937513,13.413224290963953,320.112,55865.5097853,r.MP9601,11BC22
1422760,ll10+0-2,27.78336840928974,13.413224184497537,320.105952,55865.5140441,r.MP9601,11BC22
1422761,ll10-1-2,26.769365889166814,13.413202906076421,320.126688,55865.5186216,r.MP9601,11BC22
1422762,ll10-2-2,25.755329578776447,13.413221282451715,320.130144,55865.5231966,r.MP9601,11BC22
1422763,ll10-2-1,25.75532789783621,14.393173976145848,320.131872,55865.5275546,r.MP9601,11BC22
1422764,ll10-1-1,26.76936963172369,14.393223394650404,320.131872,55865.5318927,r.MP9601,11BC22
1422765,ll10+0-1,27.78332862510803,14.39320345648194,320.131872,55865.5362508,r.MP9601,11BC22
1422766,ll10+1-1,28.7973670951346,14.393223080366981,320.124096,55865.5405637,r.MP9601,11BC22
1422767,ll10+2-1,29.811420006083555,14.393202429488765,320.128416,55865.544862,r.MP9601,11BC22
